trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
348,False,"{'a': 0.45, 'e': 0.9400566292602934}",20,0,-79.96843241223434,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
349,False,"{'a': 0.45, 'e': 0.9397151409113674}",25,7,-106.49271754692472,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
350,False,"{'a': 0.45, 'e': 0.9393727128473789}",20,0,-58.91540940512087,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
351,False,"{'a': 0.45, 'e': 0.9390293454107558}",25,14,-50.56334246979228,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 0}",1
352,False,"{'a': 0.45, 'e': 0.9386850389448655}",20,1,-182.71859883506687,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 3}",1
353,False,"{'a': 0.45, 'e': 0.9383397937940146}",20,0,-89.56716490517384,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
354,False,"{'a': 0.45, 'e': 0.937993610303448}",25,0,-151.33525501997892,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
355,False,"{'a': 0.45, 'e': 0.9376464888193493}",20,0,-57.28760360188855,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
356,False,"{'a': 0.45, 'e': 0.9372984296888399}",25,0,-218.0866631458061,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
357,False,"{'a': 0.45, 'e': 0.9369494332599789}",30,0,-105.66893653486173,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
358,False,"{'a': 0.45, 'e': 0.9365994998817627}",30,0,-98.61521594860203,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
359,False,"{'a': 0.45, 'e': 0.9362486299041247}",20,0,-84.8537848500222,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
360,False,"{'a': 0.45, 'e': 0.9358968236779348}",20,0,-153.39576617829695,"{0: 8, 1: 6, 2: 3, 3: 1, 4: 2}",0
361,False,"{'a': 0.45, 'e': 0.9355440815549994}",20,0,-69.85249887893691,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
362,False,"{'a': 0.45, 'e': 0.9351904038880602}",20,0,-147.81830023495164,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
363,False,"{'a': 0.45, 'e': 0.9348357910307951}",30,0,-230.59783831050515,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
364,False,"{'a': 0.45, 'e': 0.9344802433378168}",30,0,-93.18082104965046,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
365,False,"{'a': 0.45, 'e': 0.9341237611646731}",25,0,-191.97680887173578,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
366,False,"{'a': 0.45, 'e': 0.933766344867846}",30,0,-90.33411496361788,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
367,False,"{'a': 0.45, 'e': 0.933407994804752}",20,7,-129.4468080115114,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 3}",1
368,False,"{'a': 0.45, 'e': 0.9330487113337409}",25,0,-103.02882357460649,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
369,False,"{'a': 0.45, 'e': 0.9326884948140962}",25,0,-117.15967089099767,"{0: 19, 1: 1, 2: 0, 3: 3, 4: 2}",0
370,False,"{'a': 0.45, 'e': 0.9323273456060345}",20,0,-59.01031840549037,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
371,False,"{'a': 0.45, 'e': 0.9319652640707048}",20,0,-175.30265277301606,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
372,False,"{'a': 0.45, 'e': 0.9316022505701886}",30,0,-219.80301494564733,"{0: 11, 1: 5, 2: 9, 3: 4, 4: 1}",0
373,False,"{'a': 0.45, 'e': 0.9312383054674996}",20,0,-84.79432212529386,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
374,False,"{'a': 0.45, 'e': 0.9308734291265828}",20,0,-60.22159705322825,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
375,False,"{'a': 0.45, 'e': 0.9305076219123143}",25,14,-43.88874202666391,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
376,False,"{'a': 0.45, 'e': 0.9301408841905014}",20,0,-44.885936804156614,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
377,False,"{'a': 0.45, 'e': 0.929773216327882}",25,0,-188.58716942296007,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
378,False,"{'a': 0.45, 'e': 0.9294046186921237}",30,10,-93.65182494151763,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
379,False,"{'a': 0.45, 'e': 0.9290350916518241}",20,0,-204.27078905089868,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
380,False,"{'a': 0.45, 'e': 0.9286646355765102}",35,0,-4.9701372810890305,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
381,False,"{'a': 0.45, 'e': 0.9282932508366383}",25,17,7.200814070803533,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.45, 'e': 0.9279209378035927}",35,0,-189.34960207700513,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
383,False,"{'a': 0.45, 'e': 0.9275476968496869}",20,6,-50.06582486078285,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
384,False,"{'a': 0.45, 'e': 0.9271735283481612}",25,0,-79.26646090483628,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
385,False,"{'a': 0.45, 'e': 0.9267984326731847}",25,0,-106.18473272545913,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
386,False,"{'a': 0.45, 'e': 0.9264224101998526}",30,0,-126.94562985103384,"{0: 19, 1: 6, 2: 1, 3: 3, 4: 1}",0
387,False,"{'a': 0.45, 'e': 0.9260454613041876}",20,1,-6.235485768717627,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
388,False,"{'a': 0.45, 'e': 0.9256675863631385}",20,0,-83.70652843708999,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
